,Method,Accuracy,Precision,Recall,F1 Score
0,Euclidean,0.40996948118006105,0.34380502883122643,0.32868744393742855,0.3177320933279822
0,Cosine,0.41759918616480163,0.33269315359501206,0.3323681049756163,0.3163140803033431
0,ITML,0.41353001017294,0.3256036673928831,0.33127016843221974,0.3189396843457249
0,PCA,0.42065106815869785,0.36049010136712517,0.3396843836191492,0.32817567219588306
